"","Plot","tag","family","genus","specie","Genus.species","Overall_score","Taxonomic_status","Accepted_name","Accepted_author","Accepted_family","Source","Warnings","Accepted_name_lsid","GenusSTM","SpeciesSTM","indexSTM","d13C","d13C_level","d15N","d15N_level","Height","Height_level","LeafArea","LeafArea_level","LCC","LCC_level","LNC","LNC_level","LPC","LPC_level","SeedMass","SeedMass_level","SLA","SLA_level","WoodDensity","WoodDensity_level"
"2383","ACJ-01","11","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",11,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"1148","ACJ-01","12","CHLORANTHACEAE","Hedyosmum","sp1","",0.9,"Accepted","Hedyosmum","Sw.","Chloranthaceae","tropicos",NA,NA,"Hedyosmum","",12,-30.84534397,"genus",0.9789191285,"genus",NA,"family",NA,"family",0.438745464666667,"genus",1.90624399171429,"genus",0.0990641593333333,"genus",0.0011345,"genus",13.4018118716667,"genus",0.45,"genus"
"6658","ACJ-01","13","ROSACEAE","Polylepis","pauta","",1,"Accepted","Polylepis pauta","Hieron.","Rosaceae","tropicos",NA,NA,"Polylepis","pauta",13,-27.542558014359,"family",0.0524379340526316,"family",4.36283565891473,"family",2157.91378648399,"family",0.537376029,"genus",1.110662006,"genus",0.0799875,"genus",0.101668692877907,"family",14.6939191168656,"family",0.630444395604396,"family"
"1149","ACJ-01","14","CHLORANTHACEAE","Hedyosmum","sp1","",0.9,"Accepted","Hedyosmum","Sw.","Chloranthaceae","tropicos",NA,NA,"Hedyosmum","",14,-30.84534397,"genus",0.9789191285,"genus",NA,"family",NA,"family",0.438745464666667,"genus",1.90624399171429,"genus",0.0990641593333333,"genus",0.0011345,"genus",13.4018118716667,"genus",0.45,"genus"
"5156","ACJ-01","15","MELASTOMATACEAE","Miconia","sp3","",0.9,"Accepted","Miconia","Ruiz & Pav.","Melastomataceae","tropicos",NA,NA,"Miconia","",15,-32.79675194,"species",-0.5839269255,"species",0.45,"family",14288.5833333333,"species",0.41767485375,"species",2.159276599,"species",0.086818089,"species",0.000349666666666667,"genus",20.7261289813333,"species",0.622767924307692,"genus"
"2384","ACJ-01","16","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",16,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"2385","ACJ-01","17","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",17,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"7519","ACJ-01","18","SYMPLOCACEAE","Symplocos","baehnii","",1,"Accepted","Symplocos baehnii","J.F. Macbr.","Symplocaceae","tropicos",NA,NA,"Symplocos","baehnii",18,NA,"family",NA,"family",21.7417333333333,"genus",3455,"genus",0.449943644,"genus",3.66377243157143,"genus",0.291398428571429,"genus",0.0888111111111111,"genus",12.8893431728,"genus",0.530862727272727,"genus"
"5537","ACJ-01","19","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",19,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"5538","ACJ-01","20","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",20,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"5539","ACJ-01","21","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",21,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"5540","ACJ-01","22","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",22,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"1405","ACJ-01","23","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",23,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"2831","ACJ-01","24","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",24,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"2832","ACJ-01","25","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",25,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"2833","ACJ-01","26","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",26,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"5541","ACJ-01","27","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",27,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"1371","ACJ-01","28","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",28,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"1372","ACJ-01","29","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",29,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"2834","ACJ-01","30","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",30,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"6659","ACJ-01","31","ROSACEAE","Polylepis","pauta","",1,"Accepted","Polylepis pauta","Hieron.","Rosaceae","tropicos",NA,NA,"Polylepis","pauta",31,-27.542558014359,"family",0.0524379340526316,"family",4.36283565891473,"family",2157.91378648399,"family",0.537376029,"genus",1.110662006,"genus",0.0799875,"genus",0.101668692877907,"family",14.6939191168656,"family",0.630444395604396,"family"
"1406","ACJ-01","32","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",32,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"2835","ACJ-01","33","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",33,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"1373","ACJ-01","34","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",34,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"1407","ACJ-01","35","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",35,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"2386","ACJ-01","36","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",36,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"2387","ACJ-01","37","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",37,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"2388","ACJ-01","38","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",38,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"2389","ACJ-01","39","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",39,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"1408","ACJ-01","40","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",40,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"1409","ACJ-01","41","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",41,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"1410","ACJ-01","42","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",42,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"1374","ACJ-01","43","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",43,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"1375","ACJ-01","44","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",44,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"2390","ACJ-01","45","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",45,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"1411","ACJ-01","46","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",46,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"1376","ACJ-01","47","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",47,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"1377","ACJ-01","48","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",48,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"2391","ACJ-01","49","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",49,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"1412","ACJ-01","50","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",50,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"2392","ACJ-01","51","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",51,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"1413","ACJ-01","52","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",52,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"1414","ACJ-01","53","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",53,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"2393","ACJ-01","54","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",54,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"4946","ACJ-01","55","LAURACEAE","Persea","ruizii","",1,"Accepted","Persea ruizii","J.F. Macbr.","Lauraceae","tropicos",NA,NA,"Persea","ruizii",55,-30.619143181,"family",0.000324626624999987,"family",17.2212,"genus",3025.39130434783,"genus",0.484168118875,"genus",1.740051679,"genus",0.080409125,"genus",3.30691,"genus",9.85140179870588,"genus",0.534134592592593,"genus"
"2394","ACJ-01","56","CUNONIACEAE","Weinmannia","cochensis","",1,"Accepted","Weinmannia cochensis","Hieron.","Cunoniaceae","tropicos",NA,NA,"Weinmannia","cochensis",56,NA,"family",NA,"family",33.93,"family",NA,"family",0.471818806555556,"genus",1.6391227907,"genus",0.0932053333333333,"genus",0.00015,"genus",10.723177271,"genus",0.637438600785714,"genus"
"1415","ACJ-01","57","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",57,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"1416","ACJ-01","58","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",58,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"1417","ACJ-01","59","CLETHRACEAE","Clethra","cuneata","",1,"Accepted","Clethra cuneata","Rusby","Clethraceae","tropicos",NA,NA,"Clethra","cuneata",59,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"genus",0.46846782175,"genus",1.759375295,"genus",0.0876835086666667,"genus",0.00012,"genus",15.5324366008333,"genus",0.530333333333333,"genus"
"2836","ACJ-01","60","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",60,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"5542","ACJ-01","61","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",61,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"5157","ACJ-01","62","MELASTOMATACEAE","Miconia","sp3","",0.9,"Accepted","Miconia","Ruiz & Pav.","Melastomataceae","tropicos",NA,NA,"Miconia","",62,-32.79675194,"species",-0.5839269255,"species",0.45,"family",14288.5833333333,"species",0.41767485375,"species",2.159276599,"species",0.086818089,"species",0.000349666666666667,"genus",20.7261289813333,"species",0.622767924307692,"genus"
"5543","ACJ-01","63","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",63,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"5544","ACJ-01","64","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",64,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"5545","ACJ-01","65","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",65,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
"1378","ACJ-01","66","CLETHRACEAE","Clethra","sp1","",0.9,"Accepted","Clethra","L.","Clethraceae","tropicos",NA,NA,"Clethra","",66,-34.388240965,"genus",0.6989742185,"genus",9.4488,"genus",866.666666666667,"species",0.46846782175,"genus",0.89,"species",0.0876835086666667,"genus",0.00014,"species",17.55693642,"species",0.530333333333333,"genus"
"2837","ACJ-01","67","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",67,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"2838","ACJ-01","68","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",68,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"2839","ACJ-01","69","CUNONIACEAE","Weinmannia","fagaroides","",1,"Accepted","Weinmannia fagaroides","Kunth","Cunoniaceae","tropicos",NA,NA,"Weinmannia","fagaroides",69,NA,"family",NA,"family",33.93,"family",NA,"family",0.479095,"species",1.74166666666667,"species",0.100095166666667,"species",0.00015,"genus",9.56811116666667,"species",0.637438600785714,"genus"
"5546","ACJ-01","70","MELASTOMATACEAE","Miconia","setulosa","",1,"Accepted","Miconia setulosa","Cogn.","Melastomataceae","tropicos",NA,NA,"Miconia","setulosa",70,-32.613160735,"genus",0.355316680125,"genus",0.45,"family",14692.5,"genus",0.424105524192308,"genus",2.197135768,"genus",0.0902265760357143,"genus",0.000349666666666667,"genus",19.728634815,"genus",0.622767924307692,"genus"
